店名	地址	联系电话
云南大理剑川县二店	云南省大理州剑川县金华镇（文照街南仁和超市对面）	15125013811
云南楚雄南华县街铺	云南省楚雄州南华县龙川镇粮贸街	13988595387
昆明植物园扶荔宫店	云南昆明市盘龙区黑龙潭植物研究所扶荔宫	13669783797
云南临沧凤庆县街铺	云南省临沧市凤庆店顺峰商业步行街植物医生	13988341898
云南景洪勐满镇街铺	云南省西双版纳州景洪市勐腊县勐满镇植物医生专卖店	13887907501
云南玉溪江城镇街铺	云南省玉溪市江川去江城镇文兴街80号商铺	15198872128
云南大理弥渡建设路街铺	云南省大理州弥渡县建设路植物医生店	13988882406
云南景洪金橄榄街铺	云南西双版纳勐罕镇金橄榄商业区1-A04	18088109509
云南景洪嘎洒东盟国际店	云南省景洪市嘎洒镇东门国际A3-105	18088116592
云南怒江兰坪二店	云南省怒江州兰坪县商业街29号	13087447007
云南曲靖师宗县街铺	云南省曲靖市师宗县漾月路	15087020183
云南保山施甸县街铺	云南省保山市施甸县步行街	13529540775
云南曲靖沾益街铺	云南省曲靖市沾益县龙华北路165号	15687489065
云南普洱宁洱龙腾路街铺	云南省普洱市宁洱县龙腾路7号	13608781626
云南景洪莎湾街铺	云南省西双版纳傣族自治州景洪市景洪西路1号莎湾国际商业广场7号	15706919548
云南腾冲秀峰三店	云南省腾冲县腾越镇秀峰社区盈贸小区151号	18787656678
云南腾冲秀峰四店	云南省腾冲县腾越镇秀峰社区黄学小区51号	18787656678
云南弥勒县二店	云南省红河州弥勒县喷泉旁植物医生	15025111870
云南景洪东风镇街铺	云南省景洪市东风镇福泰广场D1-1	18088066464
云南景洪市勐龙镇街铺	云南省西双版纳州景洪市勐龙镇商业街植物医生专卖店	15012153499
云南怒江六库人民路街铺	云南省怒江州泸水县六库人民路金玉湾2号铺	13988687710
云南普洱澜沧县街铺	云南省普洱市澜沧县建设路运政所租房	15125039807
云南玉溪通海西街街铺	云南省玉溪市通海县西街46-1	13987711721
云南玉溪红塔凤凰路街铺	云南省玉溪市红塔区凤凰路75号	13987613172
云南昆明益龙家乐福	云南省昆明市盘龙区环城东路与白龙路交叉口家乐福店植物医生	18787047330
云南昆明大观沃尔玛二店	云南省昆明市大观商业城北面二楼3401F2F0003-A	13669783797
云南昭通镇雄南大街街铺	云南省昭通市镇雄县南大街40号	15969001805
云南昭通彝良西正街街铺	云南省昭通市彝良县西正街8区5号	15094229554
云南大理洱源右所街铺	云南省大理州洱源县右所镇右所街大多惠超市入口处植物医生	13987282048
云南弥勒县弥阳街铺	云南省红河州弥勒县弥阳镇民主街170号植物医生	15025111870
云南宜良沃尔玛	云南省昆明市宜良县鱼龙街片区“愿景城市广场”附一楼	15812179347
云南砚山县砚华东路街铺	云南省文山州砚山县砚华东路上段30号植物医生专卖店	13887707628
昆明市西山区腾辉广场店	昆明市西山区兴苑路腾辉广场沃尔玛1楼A109号	13540515837
云南维西保和镇新街街铺	云南省迪庆州维西县保和镇新街48号	13988722669
云南安宁市家乐福	云南省昆明市安宁市家乐福	13669783797
昆明世纪金源家乐福	昆明市官渡区金源大道家乐福负一楼	15198792794
云南元马镇龙川街街铺	云南省楚雄州元谋县龙川街世纪金湾A幢105号门面	15912214520
云南曲靖富源建设路街铺	云南省曲靖市富源县建设路植物医生专卖店	18687130291
云南省昆明市广福路大润发	云南省昆明市官渡区广福路海伦国际大润发	15911521821
云南澄江人民路街铺	云南省玉溪市澄江县人民西路31号	13888695213
云南红河屏边人民路街铺	云南省红河州屏边县人民路农行旁植物医生专卖店	13529440232
云南楚雄禄丰金水路街铺	云南省楚雄州禄丰县金水路华联超市旁	15911726171
云南宣威建设街东街街铺	云南宣威建设街东街街铺	13987404300
云南马龙县龙泉东路街铺	云南省马龙县通泉镇龙泉东路56号	13888177146
云南石林阿诗玛东路街铺	云南省昆明市石林县阿诗玛东路137、139号	15812179347
云南丽江古城沃尔玛	云南省丽江市人民政府对面（玉雪大道）“祥和商业广场”F1F0004	15288208240
云南红河老步行街街铺	云南省红河州红河县老步行街街铺	13769499808
云南景洪勐养象树路街铺	云南省景洪市勐养镇象树路植物医生专卖店	13887910295
云南昆明龙泉家乐福	云南昆明市龙泉家乐福三楼植物医生专卖店	13529200038
云南文山马关兴隆街街铺	云南省文山州马关县兴隆街29号	15987654528
云南曲靖会泽西内街街铺	云南省曲靖市会泽县西内街114号	18788011438
云南德钦县升平墩街铺	云南省迪庆州德钦县升平镇墩和社区下街63号第一铺面	15887213063
云南广南县北坛路街铺	云南省文山州广南县北坛路67号	15911596853
云南勐捧勐哈步行街街铺	云南省景洪市勐腊县勐捧镇勐哈步行街103号	18306916592
云南丽江宁蒗商贸街街铺	云南省丽江市宁蒗县商贸街上段第二家铺面	15240988540
云南泸水县六库二店	云南省怒江州泸水县六库人民路中央大街1幢1单元2号铺	13988687710
云南楚雄大姚北街街铺	云南省楚雄市大姚县北街	15877766568
昆明世纪城家乐福	云南省昆明世纪城家乐福超市	15925117228
昆明世纪广场家乐福	云南昆明五华区南屏步行街家乐福	13708404775
云南昆明豆腐营街铺	昆明市西山区豆腐营2村4号	15911521821
昆明玫瑰湾锦西路街铺	昆明市官度区玫瑰湾锦西路街铺	18288295980
云南个旧金秋路街铺	个旧市金秋路灰小姐旁	13987348826
云南大理洱源县街铺二店	大理州洱源县茈碧湖镇腾飞路10号公路管理段	13987282048
贵州遵义白锦小区街铺	遵义市遵义县南白镇白锦小区街铺	18685802756
云南丽江七星街四店	云南省丽江市古城区七星一街195号	15288208240
云南丽江七星街三店	云南省丽江市古城区七星一街67号	13987688623
云南墨江回归大道街铺	云南省普洱市墨江回归大道太阳广场地税局	13908811108
云南峨山嶍峨路街铺	云南省玉溪市峨山县嶍峨路中段红绿灯口	13987711721
昆明禄劝秀屏路街铺	云南省昆明市禄劝县秀屏街78号	15812179347
云南保山市施甸县街铺	云南省保山市施甸县文化路中段	18213109815
云南永胜文明南路街铺	云南省丽江市永胜县文明南路植物医生	13988849668
丽江古城区民主路街铺	云南省丽江市古城区民主路363	1398768623
云南嵩明县东街街铺	云南省昆明市嵩明县嵩阳镇老东街140号	15924952650
云南省曲靖市麒麟南路街铺	云南省曲靖市麒麟南路20号	18687130291
云南富民黎阳路街铺	富民县黎阳路西街口植物医生化妆品店	18788120096
云南南沙金诚花园街铺	云南省元阳县南沙步行街金诚花园街铺	13769492915
云南省景洪市景洪沃尔玛2店	云南省景洪市勐海路沃尔玛超市出口	18787983111
云南昆明白云路家乐福	云南省昆明市盘龙区北京路延长线1035号家乐福1楼	15987153192
临沧市步森街街铺	云南省临沧市临祥翔区域步森街上段7栋6号	13769214330
临沧云县云兴商业街街铺	云南省临沧市云县云兴商业街103号	15125213110
云南武定狮山路街铺	武定县狮山镇嵘嘉商业广场外围一栋十五号	13529901998
云南弥勒髯翁路街铺	云南省弥勒市弥阳镇金辰时代广场植物医生	15887719479
昆明晋宁昆阳大街街铺	晋宁县昆阳大街中医院斜对面530号	13888484981
云南昆明正大家乐福	云南省昆明市二环西路与茭菱路交叉路口正大家乐福三楼植物医生专卖店	18213953623
云南保山隆阳正阳街铺	云南省保山市隆阳区正阳南路56号(建设银行总行对面)	18787656678
云南红河北正街街铺	建水县北正街北正购物中心旁植物医生	13987348826
云南建水北正路街铺	云南省建水县北正街北正购物中心旁植物医生	13987348826
楚雄鹿城南路街铺	楚雄市鹿城南路69号北城小学旁	15987186697
蒙自桂林街街铺店	云南省红河州蒙自市桂林街34号	15887719479
昆明盘龙佳园小区街铺	云南省昆明市盘龙区佳园小区33号	15198745324
云南迪庆保和镇街铺	维西保和镇念萨街祥和路53号植物医生店	13988722669
云南省红河州泸西二店	泸西县九华路21号	13648818041
云南大理巍山北隅街铺	云南大理巍山县北隅小区102号	13529631236
玉溪元江财富广场街铺	云南省玉溪市元江县财富广场2--06号	13529440232
云南下关建设东路街铺	云南省大理市建设路绿玉公园植物医生	13988590025
云南鹤庆南大街街铺	云南省大理市鹤庆县南大街	15288208240
云南景洪市勐腊2店	景洪市勐腊县大兴超市门口一铺面	15368926626
大理漾濞苍山中路街铺	云南省大理市漾濞县苍山西镇苍山中路36号	15987649520
昆明东川区兴玉路街铺	云南省昆明市东川区玉美新城兴玉路中段	18608899099
金平县广街街铺	云南省红河州金平县广街路一号(疾控门诊旁)	13987375836
云南芒市二店	云南省德宏州芒市勐焕路11号植物医生	15911757270
云南省昆明市万达广场店	云南省昆明市万达百货3楼	15912135120
云南文山沃尔玛街铺	云南省文山州文山东风路光大广场2-5号商铺	18896309073
云南省昆明市万达广场店	云南省昆明市万达广场三楼	15912135120
云南保山腾冲秀峰二店	云南保山市腾冲县腾越镇秀峰社区融腾小区71号	18787656678
云南文山东风路街铺	云南省文山市东风路店	18896309073
云南文山沃尔玛街铺	云南文山东风路光大广场2-5号商铺	18896309073
云南大理永平街铺	永平县博南镇博南路5号	13987282048
云南怒江兰坪街铺	云南省怒江州兰坪县步行街40号	13087447007
玉溪易门龙泉街铺	云南省玉溪市易门县龙泉镇中心街42号	13388890330
腾冲秀峰二店	云南省保山市腾冲县主大街植物医生(家家超市斜对面)	18787656678
云南景洪东风镇街铺	云南省景洪市东风镇大兴超市对面	15706919548
宣威沃尔玛	宣威市文化路沃尔玛负一楼	13808701413
曲靖南城门沃尔玛	曲靖市麒麟区南城门沃尔玛	13987688623
云南省大理州南涧县商贸城	云南省大理州南涧县民族商贸城七栋123号	13628729766
曲靖家乐福南城门店	云南省曲靖市麒麟区翠峰路家乐福植物医生	13987688623
云南昆明美凯龙家乐福	云南省昆明市西山区广福路爱琴海购物广场负一楼植物医生专卖店	18288295980
云南昆明南亚风情家乐福	云南省昆明市西山区南亚家乐福	18288295980
云南玉溪江川街铺	云南省玉溪市江川县明珠路财富广场街铺植物医生	1518872128
昆明世纪城街铺二店	云南省昆明市官渡区世纪城金源大道茗春苑A9-09	15925117228
大理市下关人民北路街铺	大理市下关人民街北路新知图书城对面	15288208240
云南瑞丽新安路街铺	云南省德宏州瑞丽市新安路	18787656678
大理剑川店	云南省大理市剑川县金华镇永丰北路8号	15125013811
大理宾川店	云南省大理州宾川县金牛路	18287208805
宜良振兴街店	云南省昆明市宜良县振兴街46号老政府对面	15812179347
弥勒沃尔玛店	云南省红河州弥勒市冉翁路金辰时代广场沃尔玛超市内	15887719479
云南文山丘北财富广场	云南省文山州丘北县财富广场店	18687540888
人民东路店	云南省昆明市盘龙区人民东路街道	15198745324
勐海二店	云南省景洪市勐海县商业街	15706919545
云南昆明和平村	云南省昆明市北京路563号附6号	18687506007
云南西双版纳勐腊县店	云南西双版纳勐腊县南腊广场 C—113号	15368926626
文山开花南路店	云南省文山州文山市开化镇开化中路银都佳园	15108837188
曲靖南城门店	云南省曲靖市麒麟区麒麟南路金城百货对面植物医生	13987688623
昆明民航路店	云南省昆明市官渡区关上民航路植物医生506号	15887204389
大理人民街店	云南省大理人民路90号	15288208240
昆明江岸小区店	云南省昆明市五华区江岸小区植物医生专卖店	15752017226
云南昆明白龙路街铺	云南省昆明市盘龙区白龙路168号商铺	15198745324
云南大理洱源街铺	大理州洱源县茈碧湖镇兴源路街心花园	13987282048
云南宣威振兴路街铺	云南省宣威市振兴路大丰商业城对面植物医生专卖店	13987404300
澜沧街铺店	云南省普洱市澜沧县天生祥超市对面	15368926626
小康大道店	云南省昆明市盘龙区小康大道植物医生105号	15987153192
景洪沃尔玛街铺店	云南省景洪市勐海路滨港国际沃尔玛超市入口植物医生专卖店	18787983111
桃源广场店	云南省昆明市盘龙区桃源街13号植物医生	13529200038
云南昆明新迎路街铺	云南省昆明市盘龙区新迎路57号	18388123681
云南昆明丰宁小区街铺	五华区丰宁小区茭菱路976号	13708404775
云南昆明金实小区街铺	云南省昆明市盘龙区金实路102号	15987153192
云南昆明东华小区街铺	云南省昆明市盘龙区人民东路347号	15198745324
云南普洱沃尔玛	云南省普洱市思茅区林源路沃尔玛超市植物医生	13987613172
北辰中路店	云南省昆明市盘龙区北辰中路79号	15987153192
弥勒店	云南省弥勒市民主街西门口170号	15887719479
海明路店	云南省昆明市官渡区海明路植物医生482号	18213953623
曲靖麒麟沃尔玛	云南省曲靖市麒麟花园交通沃尔玛付2楼植物医生	13808701413
曲靖陆良街铺	曲靖市陆良县鑫城国际27栋06号商铺	13987688623
曲靖罗平美好家园	曲靖市罗平县振兴街	13987688623
曲靖市玄堂街街铺	云南省曲靖市麒麟区麒麟南路114号	18687130291
大理人民路天城鸳浦街	云南省大理市下关镇鸳浦街天成大卖场	13987688623
大理人民南路街铺店	云南省大理市下关镇人民南路2号	15288208240
大理下关沃尔玛	云南省大理市泰安路沃尔玛	13988590025
丽江七星街	云南省丽江市古城区七星街上段35号植物医生	13987688623
丽江七星一街店	古城区七星一街230号植物医生	13987688623
红河绿春县街铺	云南省绿春县新村路49号	13529466838
云南景洪金橄榄街铺	云南省景洪市橄榄坝金橄榄商业区植物医生	13578145588
芒市瑞秀百货店	德洪州芒市瑞秀百货一楼	18787656678
云南宣威吉玛特店	云南省宣威市西宁路植物医生	13987404300
楚雄府后街沃尔玛店	云南省楚雄市沃尔玛三楼	13988806273
云南怒江州六库	怒江州六库市穿城路	13988687710
红河泸西新天地购物中心	泸西县新天地购物广场	13648818041
玉溪红塔美佳华沃尔玛	云南省玉溪市红塔区红塔大道沃尔玛店	13987613172
玉溪摩尔百货	云南玉溪市红塔区南北大街35号摩尔商场	13987613172
玉溪市人民路街铺	云南省玉溪市红塔区人民路5号	13987613172
昆明正义路街铺	云南省昆明市五华区正义路75号	13529200038
昆明环城南路云纺家乐福	昆明环城南路云纺家乐福	15887204389
昆明官渡区世纪城街铺	昆明市官度区世纪金源大道J段101号商铺	18860739406
红河州建水时代广场	云南省红河州建水县时代中心一楼植物医生	13987348826
文山开化中路街铺	云南省文山市开化中路圆如意一楼（爱登堡隔壁）	18896309073
个旧金湖店	个旧市金湖南路	18214398174
个旧中山店	云南个旧中山路55-2	13987348826
昆明青年路街铺	云南省昆明市五华区青年路306号	13529200038
昆明霖雨桥沃尔玛	云南省昆明市盘龙区北京路霖雨桥中汇沃尔玛三楼	15987153192
昆明集大沃尔玛店	云南省昆明市环城北路集大沃尔玛一楼植物医生	15198745324
昆明官渡区国贸沃尔玛	云南省昆明市官渡区春城路289号沃尔玛商场收银台旁边	15887204389
云南宜良店	云南昆明市宜良县振兴街美盛百货一楼	13987678832
昆明西山腾辉沃尔玛	云南昆明市西山区兴苑路沃尔玛三楼	18213868709
昆明大商汇沃尔玛	云南省昆明市西山区前兴路光辉城市负一层	13987161197
昆明云山沃尔玛	昆明市西郊明波土堆村	13529444578
云南省昆明大观沃尔玛	云南省昆明市五华区大观商业城沃尔玛购物广场2楼	18213953623
西双版纳景洪大润发	云南省景洪市大润发二楼植物医生	15706919548
景洪市金路街铺店	景洪市金路街铺店	15752329623
景洪大兴地下商场	云南省景洪市大兴地下广场植物医生店	18787983111
云南昆明北市区宏康路街铺	云南省昆明市北市区江东耀龙康城红康路59号	15987153192
香格里拉二店	云南省迪庆州香格里拉县池卜卡商贸街107号	13987688623
云南小西门街铺	昆明市五华区人民西路3号	18687506007
云南大理祥云县青红路街铺	云南大理祥云县青红路街铺	15750222105
云南益龙家乐福店	云南省昆明市盘龙区白龙路与环城东路交叉口益龙万象家乐福	18687130291
云南茭菱路店	云南省昆明市五华区茭菱路182号	13987149674
云南白云店	云南省昆明市北京路1039号	18687130291
云南昆明和平村	云南省昆明市盘龙区金华园1039号	15987153192
昆明官南大道大润发	云南省昆明市官渡区官南大道大润发	18288295980
昆明启鸿沃尔玛	云南省昆明市五华区颠缅大道假日城市小区沃尔玛一楼植物医生	13708404775
云南曲靖南宁西路街铺	云南省曲靖市麒麟区南宁西路原燃料厂商铺	13987688623
云南昭通沃尔玛	云南省昭通市昭阳区沃尔玛地下商场/收银台对面	15087020183
云南香格里拉店	云南省香格里拉市池卜卡街38号植物医生	15288208240
云南西双版纳勐海县店	云南省西双版纳景洪市勐海县茗都嘉院小区植物医生	15706919548
云南省保山市腾冲步行街	云南省保山市腾冲县步行街254号	18787656678
云南昆明东寺街铺店	昆明市东寺街273号附一号	15911665235
云南开远人民路店	云南省开远市人民中路店	15887719479
云南个旧人民路店	云南个旧市人民路盛兴大道楼	15911665235
云南普洱街铺	云南省普洱市思茅区中心商务区b111号植物医生	13987613172
